dealer_id,dealer_aadhar,farmer_id,relationship_date,claimed_fertiliser_qty_kg,relationship_status,max_allowed_txns_per_year
DEA0099,2276146859451,FAR007389,2023-01-01,22485,Active,24
DEA0403,2367173489603,FAR000092,2023-01-01,18869,Active,12
DEA0279,2257822759857,FAR002451,2023-01-01,163,Active,24
DEA0029,2844145481415,FAR008402,2023-01-01,15597,Active,24
DEA0215,2749255313580,FAR002225,2023-01-01,2118,Active,24
DEA0111,2160217735027,FAR001821,2023-01-01,787,Active,24
DEA0466,2659211758155,FAR005404,2023-01-01,19700,Active,48
DEA0123,2952132158235,FAR009064,2023-01-01,174262,Active,24
DEA0207,2435694754833,FAR001448,2023-01-01,130,Active,12
DEA0170,2310951443266,FAR004270,2023-01-01,3106,Active,12
DEA0003,2311921777293,FAR007749,2023-01-01,18602,Active,12
DEA0389,2020769806477,FAR007849,2023-01-01,2426,Active,36
DEA0204,2971950409550,FAR000729,2023-01-01,37436,Active,12
DEA0308,2513887512281,FAR007636,2023-01-01,23660,Active,24
DEA0359,2637783036034,FAR002076,2023-01-01,598,Active,24
DEA0452,2557216632579,FAR007449,2023-01-01,1535,Inactive,24
DEA0275,2932521631464,FAR005946,2023-01-01,1929,Active,12
DEA0355,2133697776838,FAR000220,2023-01-01,53691,Active,12
DEA0308,2513887512281,FAR007030,2023-01-01,14292,Active,24
DEA0128,2670316220510,FAR001101,2023-01-01,11050,Active,24
DEA0354,2931637252071,FAR002270,2023-01-01,56822,Active,24
DEA0397,2452543025121,FAR004199,2023-01-02,45256,Active,24
DEA0242,2544914498089,FAR004560,2023-01-02,35959,Active,12
DEA0346,2898485784706,FAR001495,2023-01-02,880,Active,24
DEA0326,2794508986330,FAR003466,2023-01-02,2481,Inactive,36
DEA0497,2127571991087,FAR007206,2023-01-02,345,Active,36
DEA0180,2541313533292,FAR004570,2023-01-02,20045,Inactive,12
DEA0120,2065629553197,FAR008594,2023-01-02,3056,Active,12
DEA0461,2637145972824,FAR007771,2023-01-02,2512,Active,24
DEA0407,2129552997376,FAR007558,2023-01-02,12596,Active,48
DEA0062,2139557291934,FAR004689,2023-01-02,41022,Active,12
DEA0160,2603776241474,FAR006174,2023-01-02,3425,Active,12
DEA0218,2044661593940,FAR002163,2023-01-02,913,Active,36
DEA0045,2029220943701,FAR007291,2023-01-02,8024,Active,36
DEA0455,2573844235573,FAR001552,2023-01-02,1109,Active,12
DEA0409,2086529407981,FAR006579,2023-01-02,785,Active,36
DEA0317,2115906752115,FAR009488,2023-01-02,1032,Active,36
DEA0433,2945740755340,FAR007238,2023-01-02,2105,Active,12
DEA0085,2742156456218,FAR005312,2023-01-02,16943,Active,12
DEA0431,2563361109695,FAR000992,2023-01-02,1715,Active,24
DEA0237,2089142827036,FAR007095,2023-01-02,33852,Active,24
DEA0163,2415877787883,FAR001716,2023-01-02,39815,Active,48
DEA0283,2719704460439,FAR008465,2023-01-03,560,Active,24
DEA0103,2115589670603,FAR002563,2023-01-03,550298,Active,24
DEA0497,2127571991087,FAR005474,2023-01-03,2014,Active,24
DEA0189,2844897362388,FAR001016,2023-01-03,21751,Active,36
DEA0374,2164339292113,FAR003332,2023-01-03,28154,Active,48
DEA0151,2582602343455,FAR006427,2023-01-03,3421,Active,48
DEA0065,2524912570065,FAR007182,2023-01-03,30908,Inactive,24
DEA0371,2335643605235,FAR007224,2023-01-03,1720,Inactive,36
DEA0049,2622529231399,FAR002070,2023-01-03,2195,Active,48
DEA0318,2026790623109,FAR003608,2023-01-03,6331,Active,12
DEA0210,2289297079093,FAR009800,2023-01-03,44209,Active,12
DEA0075,2368969957953,FAR007069,2023-01-03,64439,Active,24
DEA0047,2207189700074,FAR001737,2023-01-03,682,Active,24
DEA0440,2652674349664,FAR004134,2023-01-03,332,Inactive,36
DEA0229,2627920496268,FAR006234,2023-01-03,16613,Active,12
DEA0287,2222669094671,FAR000601,2023-01-03,35900,Active,24
DEA0323,2335674144489,FAR004736,2023-01-03,2962,Active,12
DEA0426,2238592611303,FAR001460,2023-01-03,11999,Active,48
DEA0109,2249618572104,FAR007046,2023-01-03,2224,Active,48
DEA0143,2709380013397,FAR006716,2023-01-03,231,Active,36
DEA0408,2317598715164,FAR004335,2023-01-03,447,Active,12
DEA0471,2970616984450,FAR009307,2023-01-04,9464,Active,36
DEA0035,2096505381907,FAR003064,2023-01-04,1595,Active,12
DEA0422,2398899075608,FAR003732,2023-01-04,32369,Active,12
DEA0170,2310951443266,FAR003682,2023-01-04,1159,Active,36
DEA0124,2401931483117,FAR002099,2023-01-04,6733,Active,12
DEA0429,2730363426615,FAR007872,2023-01-04,15626,Active,36
DEA0383,2477978168940,FAR009015,2023-01-04,2012,Active,36
DEA0408,2317598715164,FAR004821,2023-01-04,515,Active,12
DEA0352,2098165607962,FAR009421,2023-01-04,278,Active,12
DEA0361,2193223804905,FAR009058,2023-01-04,2422,Active,24
DEA0272,2459446522813,FAR007990,2023-01-04,1903,Active,48
DEA0251,2269516712000,FAR008555,2023-01-04,381,Active,24
DEA0010,2341431277203,FAR004602,2023-01-04,1020,Active,12
DEA0048,2281535727791,FAR006648,2023-01-04,713,Active,36
DEA0229,2627920496268,FAR002823,2023-01-04,248854,Active,36
DEA0080,2503100955460,FAR003552,2023-01-04,7532,Active,24
DEA0168,2067811274296,FAR008800,2023-01-04,1014,Active,12
DEA0376,2794796795246,FAR001401,2023-01-04,19735,Active,12
DEA0471,2970616984450,FAR007896,2023-01-04,19569,Active,12
DEA0493,2129913133362,FAR000552,2023-01-04,1779,Active,36
DEA0144,2875357969453,FAR008389,2023-01-04,658,Active,24
DEA0264,2942246449013,FAR003612,2023-01-05,830,Active,12
DEA0435,2405554692478,FAR003153,2023-01-05,9932,Active,24
DEA0217,2390991684338,FAR002856,2023-01-05,826,Inactive,24
DEA0245,2377576755938,FAR006238,2023-01-05,12427,Active,24
DEA0495,2402164482439,FAR007870,2023-01-05,1344,Active,36
DEA0208,2840218312814,FAR000827,2023-01-05,1118,Active,24
DEA0075,2368969957953,FAR000306,2023-01-05,636,Active,24
DEA0106,2577355158917,FAR009871,2023-01-05,4335,Active,24
DEA0415,2021457228620,FAR003940,2023-01-05,315,Active,24
DEA0295,2897674285077,FAR000394,2023-01-05,1173,Active,12
DEA0188,2287782756813,FAR006292,2023-01-05,303,Active,48
DEA0174,2550866124392,FAR006558,2023-01-05,1253,Active,24
DEA0199,2131875387351,FAR009571,2023-01-05,23924,Active,24
DEA0160,2603776241474,FAR000736,2023-01-05,32056,Inactive,12
DEA0289,2954247452807,FAR006715,2023-01-05,343,Inactive,24
DEA0062,2139557291934,FAR001535,2023-01-05,41144,Active,24
DEA0132,2685455492114,FAR006190,2023-01-05,2265,Inactive,12
DEA0325,2863505846808,FAR006023,2023-01-05,49365,Active,12
DEA0313,2023491289182,FAR005696,2023-01-05,1934,Inactive,36
DEA0028,2306225256139,FAR007698,2023-01-05,425,Active,12
DEA0270,2532826114607,FAR006754,2023-01-05,1267,Active,48
DEA0014,2632276921806,FAR005708,2023-01-06,17443,Active,36
DEA0424,2139429413311,FAR001039,2023-01-06,4522,Active,12
DEA0492,2514675426711,FAR005139,2023-01-06,3283,Active,36
DEA0387,2641932262905,FAR001704,2023-01-06,45262,Active,24
DEA0050,2670318030893,FAR000650,2023-01-06,3126,Active,24
DEA0009,2087316340923,FAR005832,2023-01-06,3278,Active,24
DEA0358,2745657686827,FAR009110,2023-01-06,13864,Inactive,24
DEA0382,2380186995693,FAR001684,2023-01-06,662,Active,36
DEA0378,2579642474663,FAR007877,2023-01-06,37576,Active,48
DEA0397,2452543025121,FAR006145,2023-01-06,21187,Inactive,48
DEA0451,2794825436783,FAR005241,2023-01-06,22198,Active,36
DEA0351,2358436742692,FAR008299,2023-01-06,32801,Inactive,24
DEA0241,2438536514017,FAR003162,2023-01-06,1091,Inactive,24
DEA0392,2071379803159,FAR008044,2023-01-06,44620,Active,24
DEA0458,2634232746969,FAR006816,2023-01-06,5008,Active,36
DEA0171,2440676773102,FAR007179,2023-01-06,3106,Active,36
DEA0354,2931637252071,FAR005725,2023-01-06,1388,Active,12
DEA0342,2140353381208,FAR007030,2023-01-06,12371,Inactive,24
DEA0253,2344643709707,FAR000486,2023-01-06,4135,Active,12
DEA0192,2000590025357,FAR003421,2023-01-06,35208,Active,12
DEA0142,2298708440333,FAR003966,2023-01-06,4633,Active,24
DEA0304,2549693846992,FAR007027,2023-01-07,232,Active,24
DEA0166,2262380298429,FAR006260,2023-01-07,10214,Inactive,36
DEA0135,2800975790118,FAR000743,2023-01-07,61663,Active,36
DEA0240,2203140000546,FAR000606,2023-01-07,11775,Inactive,24
DEA0120,2065629553197,FAR007352,2023-01-07,360,Active,24
DEA0401,2468232002266,FAR000423,2023-01-07,2547,Active,24
DEA0126,2279978885810,FAR001970,2023-01-07,821,Active,12
DEA0392,2071379803159,FAR008684,2023-01-07,2664,Active,24
DEA0067,2287756352740,FAR009707,2023-01-07,713,Inactive,12
DEA0258,2027799668100,FAR000112,2023-01-07,656,Inactive,36
DEA0263,2632113045963,FAR000035,2023-01-07,39910,Active,24
DEA0142,2298708440333,FAR005432,2023-01-07,34667,Active,36
DEA0320,2619959144624,FAR006056,2023-01-07,16416,Active,24
DEA0129,2491566680303,FAR003393,2023-01-07,1970,Active,12
DEA0298,2542564415400,FAR000373,2023-01-07,4869,Active,24
DEA0415,2021457228620,FAR008128,2023-01-07,19167,Active,24
DEA0407,2129552997376,FAR003598,2023-01-07,16835,Active,12
DEA0402,2215323873830,FAR002570,2023-01-07,48092,Active,36
DEA0259,2297811238355,FAR008522,2023-01-07,428,Active,24
DEA0437,2651419840604,FAR000769,2023-01-07,641,Inactive,24
DEA0214,2151266415665,FAR009228,2023-01-08,652,Active,24
DEA0396,2417353327403,FAR003023,2023-01-08,1713,Active,24
DEA0276,2328398816680,FAR000399,2023-01-08,50336,Inactive,36
DEA0401,2468232002266,FAR002886,2023-01-08,11711,Inactive,48
DEA0078,2589827545357,FAR001262,2023-01-08,8795,Inactive,24
DEA0422,2398899075608,FAR009334,2023-01-08,3844,Active,36
DEA0057,2477789998915,FAR001564,2023-01-08,363,Active,12
