dealer_id,aadhar_no,dealer_name,village,license_active,license_expiry
DEA0001,2538274001343,Dealer_001_Agri,Bhoga Nandeeshwara,True,2025-06-01
DEA0002,2504198490555,Dealer_002_Agri,Bhoga Nandeeshwara,True,2025-06-03
DEA0003,2311921777293,Dealer_003_Agri,Rampur Village,True,2025-06-06
DEA0004,2187857161180,Dealer_004_Agri,Gokul Vihar,True,2025-06-08
DEA0005,2935841521171,Dealer_005_Agri,Ganesha Nagar,True,2025-06-11
DEA0006,2870570605618,Dealer_006_Agri,Devi Krupa,True,2025-06-14
DEA0007,2900425773895,Dealer_007_Agri,Rampur Village,True,2025-06-16
DEA0008,2689548922822,Dealer_008_Agri,Keshavpur,True,2025-06-19
DEA0009,2087316340923,Dealer_009_Agri,Keshavpur,False,2025-06-21
DEA0010,2341431277203,Dealer_010_Agri,Raja Rajeshwari,False,2025-06-24
DEA0011,2922718714259,Dealer_011_Agri,Pushpagiri,True,2025-06-27
DEA0012,2389527958399,Dealer_012_Agri,Skanda Giri,True,2025-06-29
DEA0013,2135635826687,Dealer_013_Agri,Nandi Hills,True,2025-07-02
DEA0014,2632276921806,Dealer_014_Agri,RedSoil Hamlet,True,2025-07-05
DEA0015,2021803731746,Dealer_015_Agri,Rampur Village,True,2025-07-07
DEA0016,2297140671948,Dealer_016_Agri,Balaji Nagar,True,2025-07-10
DEA0017,2731548918291,Dealer_017_Agri,RedSoil Hamlet,True,2025-07-12
DEA0018,2092237681732,Dealer_018_Agri,Yelachaguppe,True,2025-07-15
DEA0019,2898175341338,Dealer_019_Agri,Nandi Hills,True,2025-07-18
DEA0020,2324283572988,Dealer_020_Agri,Balaji Nagar,True,2025-07-20
DEA0021,2375468991675,Dealer_021_Agri,Uttara Phalguni,True,2025-07-23
DEA0022,2787622025494,Dealer_022_Agri,Pushpagiri,True,2025-07-26
DEA0023,2735949309195,Dealer_023_Agri,GreenVillage,False,2025-07-28
DEA0024,2240612739766,Dealer_024_Agri,Bhoga Nandeeshwara,True,2025-07-31
DEA0025,2816640957535,Dealer_025_Agri,Yelachaguppe,True,2025-08-02
DEA0026,2497164514255,Dealer_026_Agri,Rampur Village,True,2025-08-05
DEA0027,2666971464000,Dealer_027_Agri,Anjaneya Layout,True,2025-08-08
DEA0028,2306225256139,Dealer_028_Agri,Pushpagiri,True,2025-08-10
DEA0029,2844145481415,Dealer_029_Agri,Maruthi Extension,True,2025-08-13
DEA0030,2939816091622,Dealer_030_Agri,Hanumantha Nagar,True,2025-08-16
DEA0031,2924962947110,Dealer_031_Agri,Sundarapuram,True,2025-08-18
DEA0032,2527774711556,Dealer_032_Agri,Dakshina Mukhi,False,2025-08-21
DEA0033,2633629215658,Dealer_033_Agri,Dakshina Mukhi,True,2025-08-23
DEA0034,2492171975992,Dealer_034_Agri,Sundarapuram,True,2025-08-26
DEA0035,2096505381907,Dealer_035_Agri,Bhoga Nandeeshwara,True,2025-08-29
DEA0036,2741223885407,Dealer_036_Agri,Subramanya Swamy,True,2025-08-31
DEA0037,2687888674225,Dealer_037_Agri,Venkatesh Pura,True,2025-09-03
DEA0038,2513289909131,Dealer_038_Agri,Lakshmi Puram,True,2025-09-06
DEA0039,2369561439398,Dealer_039_Agri,Skanda Giri,True,2025-09-08
DEA0040,2564281509566,Dealer_040_Agri,Venkatesh Pura,False,2025-09-11
DEA0041,2011651670433,Dealer_041_Agri,Ganesha Nagar,True,2025-09-13
DEA0042,2616846320033,Dealer_042_Agri,Rampur Village,True,2025-09-16
DEA0043,2779763984118,Dealer_043_Agri,Anjaneya Layout,True,2025-09-19
DEA0044,2016772799493,Dealer_044_Agri,Venkatesh Pura,True,2025-09-21
DEA0045,2029220943701,Dealer_045_Agri,Subramanya Swamy,True,2025-09-24
DEA0046,2420233546838,Dealer_046_Agri,Yelachaguppe,True,2025-09-27
DEA0047,2207189700074,Dealer_047_Agri,Balaji Nagar,True,2025-09-29
DEA0048,2281535727791,Dealer_048_Agri,Rampur Village,True,2025-10-02
DEA0049,2622529231399,Dealer_049_Agri,Sundarapuram,True,2025-10-04
DEA0050,2670318030893,Dealer_050_Agri,Keshavpur,True,2025-10-07
DEA0051,2961764090178,Dealer_051_Agri,Venkatesh Pura,True,2025-10-10
DEA0052,2855587333466,Dealer_052_Agri,Hanumantha Nagar,True,2025-10-12
DEA0053,2635309954724,Dealer_053_Agri,Shivaji Colony,True,2025-10-15
DEA0054,2757614965859,Dealer_054_Agri,Venkatesh Pura,False,2025-10-18
DEA0055,2912283284715,Dealer_055_Agri,Raja Rajeshwari,True,2025-10-20
DEA0056,2746498723708,Dealer_056_Agri,Neelkamal,True,2025-10-23
DEA0057,2477789998915,Dealer_057_Agri,Ganesha Nagar,True,2025-10-25
DEA0058,2616505290042,Dealer_058_Agri,Uttara Phalguni,True,2025-10-28
DEA0059,2209820451367,Dealer_059_Agri,Rampur Village,True,2025-10-31
DEA0060,2666562836190,Dealer_060_Agri,Neelkamal,True,2025-11-02
DEA0061,2741103502567,Dealer_061_Agri,Balaji Nagar,True,2025-11-05
DEA0062,2139557291934,Dealer_062_Agri,Balaji Nagar,True,2025-11-08
DEA0063,2155900124527,Dealer_063_Agri,Shivaji Colony,True,2025-11-10
DEA0064,2099582324720,Dealer_064_Agri,Skanda Giri,True,2025-11-13
DEA0065,2524912570065,Dealer_065_Agri,RedSoil Hamlet,True,2025-11-15
DEA0066,2490745034280,Dealer_066_Agri,Rampur Village,True,2025-11-18
DEA0067,2287756352740,Dealer_067_Agri,Uttara Phalguni,True,2025-11-21
DEA0068,2789232649591,Dealer_068_Agri,Gokul Vihar,True,2025-11-23
DEA0069,2621478174840,Dealer_069_Agri,Rampur Village,True,2025-11-26
DEA0070,2354180602703,Dealer_070_Agri,Lakshmi Puram,True,2025-11-29
DEA0071,2305980797698,Dealer_071_Agri,Neelkamal,True,2025-12-01
DEA0072,2509685471213,Dealer_072_Agri,Sundarapuram,True,2025-12-04
DEA0073,2405908539066,Dealer_073_Agri,GreenVillage,True,2025-12-06
DEA0074,2606468538895,Dealer_074_Agri,Lakshmi Puram,True,2025-12-09
DEA0075,2368969957953,Dealer_075_Agri,Neelkamal,True,2025-12-12
DEA0076,2807775092919,Dealer_076_Agri,Gokul Vihar,True,2025-12-14
DEA0077,2085187776951,Dealer_077_Agri,Keshavpur,True,2025-12-17
DEA0078,2589827545357,Dealer_078_Agri,Gokul Vihar,True,2025-12-19
DEA0079,2829742415214,Dealer_079_Agri,Lakshmi Puram,True,2025-12-22
DEA0080,2503100955460,Dealer_080_Agri,Nandi Hills,True,2025-12-25
DEA0081,2154910538798,Dealer_081_Agri,Raja Rajeshwari,True,2025-12-27
DEA0082,2463938989635,Dealer_082_Agri,Balaji Nagar,True,2025-12-30
DEA0083,2086315895113,Dealer_083_Agri,Devi Krupa,True,2026-01-02
DEA0084,2222536058730,Dealer_084_Agri,Lakshmi Puram,True,2026-01-04
DEA0085,2742156456218,Dealer_085_Agri,Pushpagiri,True,2026-01-07
DEA0086,2103431304754,Dealer_086_Agri,Skanda Giri,True,2026-01-09
DEA0087,2954990462266,Dealer_087_Agri,Uttara Phalguni,True,2026-01-12
DEA0088,2078711436695,Dealer_088_Agri,Venkatesh Pura,True,2026-01-15
DEA0089,2949661263714,Dealer_089_Agri,Lakshmi Puram,True,2026-01-17
DEA0090,2140912282765,Dealer_090_Agri,Rampur Village,True,2026-01-20
DEA0091,2581396059845,Dealer_091_Agri,Pushpagiri,True,2026-01-23
DEA0092,2051503841119,Dealer_092_Agri,Neelkamal,True,2026-01-25
DEA0093,2212343078301,Dealer_093_Agri,Lakshmi Puram,True,2026-01-28
DEA0094,2053292060306,Dealer_094_Agri,Ganesha Nagar,True,2026-01-30
DEA0095,2378630762938,Dealer_095_Agri,Balaji Nagar,True,2026-02-02
DEA0096,2302869094337,Dealer_096_Agri,Maruthi Extension,True,2026-02-05
DEA0097,2992922676224,Dealer_097_Agri,Rampur Village,True,2026-02-07
DEA0098,2087297436595,Dealer_098_Agri,Lakshmi Puram,True,2026-02-10
DEA0099,2276146859451,Dealer_099_Agri,Devi Krupa,True,2026-02-13
DEA0100,2871314968955,Dealer_100_Agri,Skanda Giri,True,2026-02-15
DEA0101,2175811950409,Dealer_101_Agri,Ganesha Nagar,True,2026-02-18
DEA0102,2139944702166,Dealer_102_Agri,Yelachaguppe,True,2026-02-20
DEA0103,2115589670603,Dealer_103_Agri,Lakshmi Puram,False,2026-02-23
DEA0104,2975604463798,Dealer_104_Agri,Dakshina Mukhi,True,2026-02-26
DEA0105,2258724475509,Dealer_105_Agri,Lakshmi Puram,True,2026-02-28
DEA0106,2577355158917,Dealer_106_Agri,Subramanya Swamy,True,2026-03-03
DEA0107,2765687810197,Dealer_107_Agri,Gokul Vihar,True,2026-03-06
DEA0108,2494831150146,Dealer_108_Agri,Maruthi Extension,True,2026-03-08
DEA0109,2249618572104,Dealer_109_Agri,Uttara Phalguni,True,2026-03-11
DEA0110,2276861632164,Dealer_110_Agri,GreenVillage,True,2026-03-13
