farmer_id,aadhar_no,phone_no,village,land_size_acres,kharif_crop,rabi_crop,irrigation_type,soil_type,last_subsidy_date,farm_category
FAR000001,2597288202898,9252716854,Bhoga Nandeeshwara,2.36,Paddy,Wheat,Borewell,Sandy Loam,2024-01-01,SC/ST (Marginal (<2.47 ac
FAR000002,9471643858086,9740662604,Venkatesh Pura,20.06,Paddy,Wheat,Borewell,Clay,2024-01-01,Large (>12.35 acres)
FAR000003,4019105654844,9422734550,Dakshina Mukhi,2.17,Jowar,Wheat,Canal,Alluvial,2024-01-01,Marginal (<2.47 acres)
FAR000004,1126234770991,9147466014,Balaji Nagar,12.13,Jowar,Wheat,Flood,Clay,2024-01-01,Medium (4.94-12.35 acres)
FAR000005,5826973204913,9886510948,Venkatesh Pura,2.92,Jowar,Wheat,Rainfed,Red,2024-01-01,Small (2.47-4.94 acres)
FAR000006,4901412537577,9165526299,Sundarapuram,0.93,Jowar,Wheat,Rainfed,Clay,2024-01-01,Marginal (<2.47 acres)
FAR000007,6157282103669,9468297503,Ganesha Nagar,42.59,Paddy,Wheat,Borewell,Loamy,2024-01-01,SC/ST (Large (>12.35 acre
FAR000008,9674242168378,9829656582,Raja Rajeshwari,0.9,Paddy,Wheat,Flood,Black (Regur),2024-01-01,Marginal (<2.47 acres)
FAR000009,1016523269331,9502227405,GreenVillage,1.26,Paddy,Wheat,Borewell,Loamy,2024-01-01,Marginal (<2.47 acres)
FAR000010,4942498176707,9192931853,Rampur Village,3.74,Paddy,Oats,Drip,Red,2024-01-01,Small (2.47-4.94 acres)
FAR000011,7172412140809,9512410335,Skanda Giri,3.97,Paddy,Wheat,Rainfed,Alluvial,2024-01-01,Small (2.47-4.94 acres)
FAR000012,7230970088585,9421062984,Devi Krupa,0.39,Jowar,Wheat,Borewell,Clay,2024-01-01,Marginal (<2.47 acres)
FAR000013,9661534603308,9292374197,Subramanya Swamy,27.4,Paddy,Wheat,Rainfed,Clay,2024-01-01,Large (>12.35 acres)
FAR000014,4277867100504,9458209202,Lakshmi Puram,1.77,Paddy,Wheat,Rainfed,Alluvial,2024-01-01,Marginal (<2.47 acres)
FAR000015,8249816203219,9562547662,Skanda Giri,0.52,Paddy,Oats,Rainfed,Clay,2024-01-01,SC/ST (Marginal (<2.47 ac
FAR000016,1118668630407,9146225949,Dakshina Mukhi,0.33,Paddy,Wheat,Rainfed,Black (Regur),2024-01-02,Marginal (<2.47 acres)
FAR000017,8940830015700,9786540189,Dakshina Mukhi,4.11,Paddy,Wheat,Canal,Alluvial,2024-01-02,Small (2.47-4.94 acres)
FAR000018,9979193297016,9794893199,Ganesha Nagar,1.4,Jowar,Oats,Rainfed,Alluvial,2024-01-02,Marginal (<2.47 acres)
